                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240910"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2433                  1.1475506210984938E+002                  2.0597718523607966E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  6.1550470421387491E+000                  4.1031873766299243E-001                  7.8142609716280731E-008                  9.9999999304481302E-001                  9.9999996147628767E-001                  4.1031873766299243E-001                  7.8142609716280731E-008                  9.9999999304481302E-001                  9.9999996147628767E-001                  4.3899069221369871E+000                 -2.8912321482849116E+001                 -9.8999999999999986E+001                  4.3899069221369871E+000                  1.9579711481955726E+000                  4.3882975630058789E+000                 -2.8912321482849116E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5492360565492087E+033                  1.1359756969162069E+034                  1.2265839386665011E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5869677188238130E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4884416688738691E+000                  4.2884224272041154E+000                  6.8998103671881561E-001                  4.2341968129211827E+000                  0.0000000000000000E+000                  1.6501694625949053E+001                  7.8898436415697137E-001                  7.5341733255896592E+000                  6.1827526733068283E-001                  8.4852403539473498E-001                  1.3005955665898954E+000                  6.9704797634992044E-001                  2.8244250995099396E-001                  9.9264824782204980E-005                  8.9908793033636695E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481337876459829E+001                  4.2150789038570720E+000                                        0                                        4                  1.0000000000000000E+000                  1.1475506210984938E+002                  3.9999999953507599E+000                  3.1006859938138707E+001                  1.5687217472907719E+002                  2.3530826209361584E+002                  1.2850868949095315E+001                  1.0679110075867319E+001                 -6.1889158173309322E-001                 -6.3374179165611855E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060523301706E+054                 -1.0798075060010980E+035                  0.0000000000000000E+000                 -1.0798075060010980E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1516                  2.5246113664166862E+002                  2.1389530984084213E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.6122441947201267E+000                  3.7309884747719180E-001                  7.8142611603659873E-008                  9.9999999210503121E-001                  9.9999996487237630E-001                  3.7309884747719180E-001                  7.8142611603659873E-008                  9.9999999210503121E-001                  9.9999996487237630E-001                  4.3694844163868298E+000                 -2.8927633471562110E+001                 -1.0962018580511621E+001                  4.3694844163868298E+000                  1.9397341509916042E+000                  4.3678669228960016E+000                 -2.8927633471562110E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4682513857273904E+033                  1.1357163540308882E+034                  1.2271480114597702E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5861347221696583E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4883158998415196E+000                  4.2881899155983456E+000                  6.9011631898063053E-001                  4.2339262483975526E+000                  0.0000000000000000E+000                  1.6500668046705336E+001                  7.8813990897545816E-001                  7.5339681788060284E+000                  6.1827819340075940E-001                  8.4852107485584816E-001                  1.3006035067651684E+000                  6.9704205944369657E-001                  2.8244741827012937E-001                  9.2574263633872638E-005                  8.9901273690814378E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481304297895493E+001                  4.2151065797657230E+000                                        0                                        3                  2.0000000000000000E+000                  2.5246113664166862E+002                  3.9999999897716907E+000                  3.1006859909307138E+001                  1.5687217480201059E+002                  2.3530826220301591E+002                  1.2850868937146000E+001                  1.0679110065937403E+001                 -6.1877284802645083E-001                 -6.3373821199528224E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060518609215E+054                 -1.0798075089295883E+035                  0.0000000000000000E+000                 -1.0798075089295883E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1087                  4.1770842607985173E+002                  2.2181343444560464E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.7940631941574559E+000                  3.8385525713254076E-001                  7.8142608717080009E-008                  9.9999999210503121E-001                  9.9999996481831155E-001                  3.8385525713254076E-001                  7.8142608717080009E-008                  9.9999999210503121E-001                  9.9999996481831155E-001                  4.3506884999741482E+000                 -2.8941224986954367E+001                 -9.8999999999999986E+001                  4.3506884999741482E+000                  1.9213125776144426E+000                  4.3490696090700300E+000                 -2.8941224986954367E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4000467817540389E+033                  1.1227924096898575E+034                  1.2282828511276264E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5864647079459170E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4881538382176469E+000                  4.2877358470949467E+000                  6.9021340797667630E-001                  4.2337320704054617E+000                  0.0000000000000000E+000                  1.6499658193018824E+001                  7.8733322470593914E-001                  7.5337503661853482E+000                  6.1828133082084402E-001                  8.4851787979807625E-001                  1.3006119854500100E+000                  6.9703567351802831E-001                  2.8245292958939788E-001                  8.6619324266758144E-005                  8.9892848581282440E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481265843082452E+001                  4.2151395089920500E+000                                        0                                        3                  3.0000000000000000E+000                  4.1770842607985173E+002                  3.9999999830768056E+000                  3.1006859874709246E+001                  1.5687217488953070E+002                  2.3530826233429607E+002                  1.2850868922806820E+001                  1.0679110054021502E+001                 -6.1868761258066229E-001                 -6.3373309105408737E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060512978226E+054                 -1.0798075124437755E+035                  0.0000000000000000E+000                 -1.0798075124437755E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                     1016                  6.1600517340567137E+002                  2.2973155905036711E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.8406311604900223E+000                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996476844633E-001                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996476844633E-001                  4.3331536942243103E+000                 -2.8952938033626662E+001                 -1.1439139835231284E+001                  4.3331536942243103E+000                  1.9017156935777082E+000                  4.3315424860161311E+000                 -2.8952938033626662E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3491102280557471E+033                  1.1162749918282455E+034                  1.2283231345689231E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5850965883572262E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4880002181732577E+000                  4.2872824485904744E+000                  6.9029394881321871E-001                  4.2335709887323771E+000                  0.0000000000000000E+000                  1.6498784685836494E+001                  7.8664282146921394E-001                  7.5335574365083025E+000                  6.1828494051600447E-001                  8.4851418074311225E-001                  1.3006217014067627E+000                  6.9702827991395766E-001                  2.8245954748954694E-001                  8.1126549779830326E-005                  8.9882749307785455E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481221673927219E+001                  4.2151787398270990E+000                                        0                                        3                  4.0000000000000000E+000                  6.1600517340567148E+002                  3.9999999750429471E+000                  3.1006859833191790E+001                  1.5687217499455477E+002                  2.3530826249183218E+002                  1.2850868905599809E+001                  1.0679110039722426E+001                 -6.1861689031816269E-001                 -6.3373166228779865E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060506221040E+054                 -1.0798075166608010E+035                  0.0000000000000000E+000                 -1.0798075166608010E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                     1016                  8.5396127019665505E+002                  2.3764968365512957E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.8444808798379837E+000                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996472402297E-001                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996472402297E-001                  4.3175332760376186E+000                 -2.8962173522256172E+001                 -9.8999999999999986E+001                  4.3175332760376186E+000                  1.8810137379672633E+000                  4.3159408445894787E+000                 -2.8962173522256172E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2803438853331869E+033                  1.1103923996282315E+034                  1.2283556094366772E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5840779419263863E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4878748524793357E+000                  4.2869122017491916E+000                  6.9035955678042138E-001                  4.2334397727979711E+000                  0.0000000000000000E+000                  1.6498109981160368E+001                  7.8611595616334085E-001                  7.5334047755791245E+000                  6.1828913341420455E-001                  8.4850985850199134E-001                  1.3006329438630901E+000                  6.9701964021933693E-001                  2.8246754171685473E-001                  7.6253961584307612E-005                  8.9870567879079370E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481170707574774E+001                  4.2152255535412255E+000                                        0                                        3                  5.0000000000000000E+000                  8.5396127019665516E+002                  3.9999999654023131E+000                  3.1006859783370825E+001                  1.5687217512058371E+002                  2.3530826268087557E+002                  1.2850868884951385E+001                  1.0679110022563524E+001                 -6.1855927059731153E-001                 -6.3373060512152746E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060498112416E+054                 -1.0798075217212299E+035                  0.0000000000000000E+000                 -1.0798075217212299E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                     1016                  1.1395085863458353E+003                  2.4556780825989208E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.8274892821591209E+000                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996468784169E-001                  3.8843586430402743E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996468784169E-001                  4.3046470497845970E+000                 -2.8968550047490709E+001                 -1.1439139835231284E+001                  4.3046470497845970E+000                  1.8597833065395712E+000                  4.3030849766237020E+000                 -2.8968550047490709E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2241918599814793E+033                  1.1049130939006877E+034                  1.2283802025606454E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5834674037487529E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4877839080352411E+000                  4.2866463250466227E+000                  6.9040850731732573E-001                  4.2333418717241624E+000                  0.0000000000000000E+000                  1.6497661441382945E+001                  7.8577407732437909E-001                  7.5332986330596654E+000                  6.1829397651255391E-001                  8.4850483914032360E-001                  1.3006458841921924E+000                  6.9700960639483645E-001                  2.8247709871929422E-001                  7.2214033989498116E-005                  8.9856023663165176E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481111502927853E+001                  4.2152815186058774E+000                                        0                                        3                  6.0000000000000000E+000                  1.1395085863458355E+003                  3.9999999538335542E+000                  3.1006859723585677E+001                  1.5687217527181841E+002                  2.3530826290772762E+002                  1.2850868860173284E+001                  1.0679110001972850E+001                 -6.1851627419501987E-001                 -6.3372894801615742E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060488382067E+054                 -1.0798075277937474E+035                  0.0000000000000000E+000                 -1.0798075277937474E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                     1016                  1.4821653657248519E+003                  2.5348593286465455E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.7994238909642011E+000                  3.8385525713254098E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996466129071E-001                  3.8385525713254098E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996466129071E-001                  4.2947800118187223E+000                 -2.8971947431633026E+001                 -1.1138109839567303E+001                  4.2947800118187223E+000                  1.8381979264487665E+000                  4.2932595965870339E+000                 -2.8971947431633026E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1794495163045556E+033                  1.1006272058103582E+034                  1.2283971580673586E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5832401867132301E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4877280932459112E+000                  4.2864864656856279E+000                  6.9044020721548816E-001                  4.2332784719278376E+000                  0.0000000000000000E+000                  1.6497444705009745E+001                  7.8562066997133051E-001                  7.5332410087513360E+000                  6.1829966190766816E-001                  8.4849892040744956E-001                  1.3006610302696833E+000                  6.9699777387016004E-001                  2.8248863589038475E-001                  6.9037460197817472E-005                  8.9838483489878326E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0481042213694929E+001                  4.2153485531769608E+000                                        0                                        3                  7.0000000000000000E+000                  1.4821653657248519E+003                  3.9999999399510440E+000                  3.1006859651843502E+001                  1.5687217545330006E+002                  2.3530826317995007E+002                  1.2850868830439564E+001                  1.0679109977264041E+001                 -6.1848842714542718E-001                 -6.3372622576405546E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060476705649E+054                 -1.0798075350807665E+035                  0.0000000000000000E+000                 -1.0798075350807665E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                     1016                  1.8933535009796715E+003                  2.6140405746941702E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.7667429535268697E+000                  3.8385525713254098E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996464460572E-001                  3.8385525713254098E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996464460572E-001                  4.2880167785995109E+000                 -2.8972542897154558E+001                 -9.8999999999999986E+001                  4.2880167785995100E+000                  1.8169209424455293E+000                  4.2865464193857417E+000                 -2.8972542897154558E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1491172436733968E+033                  1.0975335887624424E+034                  1.2284075050556648E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5833251299022081E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4877045761912466E+000                  4.2864259670388201E+000                  6.9045699200141386E-001                  4.2332449023559864E+000                  0.0000000000000000E+000                  1.6497442433676323E+001                  7.8564062406072344E-001                  7.5332290552179781E+000                  6.1830634291939068E-001                  8.4849194140457762E-001                  1.3006787883117568E+000                  6.9698382065904518E-001                  2.8250248032934733E-001                  6.6721167175840893E-005                  8.9817452066139510E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0480960493762280E+001                  4.2154289934847959E+000                                        0                                        3                  8.0000000000000000E+000                  1.8933535009796715E+003                  3.9999999232920311E+000                  3.1006859565752890E+001                  1.5687217567107800E+002                  2.3530826350661707E+002                  1.2850868794759103E+001                  1.0679109947613471E+001                 -6.1847368099012678E-001                 -6.3372227987220175E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060462693947E+054                 -1.0798075438251893E+035                  0.0000000000000000E+000                 -1.0798075438251893E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                     1016                  2.3867792632854553E+003                  2.6932218207417953E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.7347055782700824E+000                  3.8079167469044528E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996463675067E-001                  3.8079167469044528E-001                  7.8142608939124614E-008                  9.9999999210503121E-001                  9.9999996463675067E-001                  4.2840311922508212E+000                 -2.8970752222122560E+001                 -1.1138109839567303E+001                  4.2840311922508212E+000                  1.7962935835428757E+000                  4.2826162001789561E+000                 -2.8970752222122560E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1302109034875582E+033                  1.0955207793845547E+034                  1.2284130434758899E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5836346658269311E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4877090240927799E+000                  4.2864591923133499E+000                  6.9046470883561095E-001                  4.2332294686875924E+000                  0.0000000000000000E+000                  1.6497618397325549E+001                  7.8580354824365772E-001                  7.5332560190823310E+000                  6.1831431963515227E-001                  8.4848358891123110E-001                  1.3006999562893815E+000                  6.9696712022014307E-001                  2.8251925164821390E-001                  6.5154949280685180E-005                  8.9791990233599340E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  1.0480863442204473E+001                  4.2155256729237669E+000                                        0                                        3                  9.0000000000000000E+000                  2.3867792632854553E+003                  3.9999999033012168E+000                  3.1006859462444158E+001                  1.5687217593241158E+002                  2.3530826389861735E+002                  1.2850868751942542E+001                  1.0679109912032784E+001                 -6.1846690044444264E-001                 -6.3371706920053983E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060445879904E+054                 -1.0798075543184976E+035                  0.0000000000000000E+000                 -1.0798075543184976E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
