                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240910"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2477                  1.1475506210984938E+002                  2.0597718523607966E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0499206809608070E+000                  3.0493698130404079E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999995501150540E-001                  3.0493698130404079E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999995501150540E-001                  3.7532906707531528E+000                 -3.0603253300869738E+001                 -9.8999999999999986E+001                  3.7532906707531528E+000                  1.5751549577880750E+000                  3.7503993688154131E+000                 -3.0603253300869738E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9270210205097721E+033                  6.0020266679096504E+033                  6.6661145045007027E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3324791559888196E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031268772551027E+000                  3.7518460466182511E+000                  5.9232242966341719E-001                  4.2534227679762981E+000                  0.0000000000000000E+000                  1.6620286231435035E+001                  9.6363248646428601E-001                  7.5008821902149512E+000                  6.1830407512110708E-001                  8.4849500570436753E-001                  1.3006739369125948E+000                  6.9698992609186172E-001                  2.8248943659379611E-001                  5.7119783210023312E-005                  9.0238937863659288E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9895783173338941E+000                  2.8082499024599707E+000                                        0                                        3                  1.0000000000000000E+000                  1.1475506210984938E+002                  3.9999999953507599E+000                  3.1006859938138707E+001                  1.5687217472907719E+002                  2.3530826209361584E+002                  1.2850868949095315E+001                  1.0679110075867319E+001                 -6.1889158173309322E-001                 -6.3374179165611855E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060523301706E+054                 -1.0798075060010980E+035                  0.0000000000000000E+000                 -1.0798075060010980E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1512                  2.5246113664166862E+002                  2.1389530984084213E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0732906951238168E+000                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513474438E-001                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513474438E-001                  3.7530442567762057E+000                 -3.0603659101692514E+001                 -9.8999999999999986E+001                  3.7530442567762057E+000                  1.5745011238833431E+000                  3.7501556749881457E+000                 -3.0603659101692514E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9304619806349320E+033                  6.0054231931530690E+033                  6.6731085468740361E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3394053295446023E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031163733332122E+000                  3.7518125193217258E+000                  5.9232667385893578E-001                  4.2534142795852610E+000                  0.0000000000000000E+000                  1.6620417497887441E+001                  9.6371974038919184E-001                  7.5009245424272954E+000                  6.1830527529165746E-001                  8.4849374654924226E-001                  1.3006771177227106E+000                  6.9698740798618719E-001                  2.8249198910826306E-001                  5.7058826863096264E-005                  9.0235421507243434E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9895703464113685E+000                  2.8082578116032275E+000                                        0                                        2                  2.0000000000000000E+000                  2.5246113664166862E+002                  3.9999999897716907E+000                  3.1006859909307138E+001                  1.5687217480201059E+002                  2.3530826220301591E+002                  1.2850868937146000E+001                  1.0679110065937403E+001                 -6.1877284802645083E-001                 -6.3373821199528224E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060518609215E+054                 -1.0798075089295883E+035                  0.0000000000000000E+000                 -1.0798075089295883E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1077                  4.1770842607985173E+002                  2.2181343444560464E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0705600622592959E+000                  3.0654965332653106E-001                  7.8130183989166824E-008                  9.9999998349014074E-001                  9.9999995513194984E-001                  3.0654965332653106E-001                  7.8130183989166824E-008                  9.9999998349014074E-001                  9.9999995513194984E-001                  3.7528177409567869E+000                 -3.0603562269753141E+001                 -1.1740169830895265E+001                  3.7528177409567873E+000                  1.5737452632250131E+000                  3.7499326895183827E+000                 -3.0603562269753141E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9380191608330752E+033                  6.0128296956810671E+033                  6.6742743801845752E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3534834731530482E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031324263618545E+000                  3.7518888746821433E+000                  5.9233274548185944E-001                  4.2534021363394139E+000                  0.0000000000000000E+000                  1.6620448774588041E+001                  9.6374484864005305E-001                  7.5009318543751355E+000                  6.1830672229725658E-001                  8.4849222825450954E-001                  1.3006809524192826E+000                  6.9698437163707438E-001                  2.8249506873542801E-001                  5.6996011354398170E-005                  9.0231179407494234E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9895607868112117E+000                  2.8082673023432325E+000                                        0                                        2                  3.0000000000000000E+000                  4.1770842607985173E+002                  3.9999999830768056E+000                  3.1006859874709246E+001                  1.5687217488953070E+002                  2.3530826233429607E+002                  1.2850868922806820E+001                  1.0679110054021502E+001                 -6.1868761258066229E-001                 -6.3373309105408737E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060512978226E+054                 -1.0798075124437755E+035                  0.0000000000000000E+000                 -1.0798075124437755E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                      975                  6.1600517340567137E+002                  2.2973155905036711E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0681457605124725E+000                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513179829E-001                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513179829E-001                  3.7526275734268388E+000                 -3.0603515659940083E+001                 -1.2041199826559247E+001                  3.7526275734268388E+000                  1.5729255412750083E+000                  3.7497467150285311E+000                 -3.0603515659940083E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9535137290537293E+033                  6.0240464780611853E+033                  6.6743571359300044E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3534265711448579E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031348636437482E+000                  3.7519020109085917E+000                  5.9233443903129523E-001                  4.2533987492405423E+000                  0.0000000000000000E+000                  1.6620454506439458E+001                  9.6375168384719134E-001                  7.5009322416960913E+000                  6.1830845764656650E-001                  8.4849040720745084E-001                  1.3006855508999995E+000                  6.9698072981050574E-001                  2.8249876456562212E-001                  5.6933448051617406E-005                  9.0226089151940869E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9895493209508155E+000                  2.8082786920544844E+000                                        0                                        2                  4.0000000000000000E+000                  6.1600517340567148E+002                  3.9999999750429471E+000                  3.1006859833191790E+001                  1.5687217499455477E+002                  2.3530826249183218E+002                  1.2850868905599809E+001                  1.0679110039722426E+001                 -6.1861689031816269E-001                 -6.3373166228779865E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060506221040E+054                 -1.0798075166608010E+035                  0.0000000000000000E+000                 -1.0798075166608010E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                      975                  8.5396127019665505E+002                  2.3764968365512957E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0669876458344616E+000                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513150752E-001                  3.0654965332653061E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513150752E-001                  3.7524306123778510E+000                 -3.0603535208791790E+001                 -1.1439139835231284E+001                  3.7524306123778510E+000                  1.5720086586468254E+000                  3.7495545414015621E+000                 -3.0603535208791790E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9529470363058616E+033                  6.0236201290682903E+033                  6.6744586338383467E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3533249033035596E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031318167062716E+000                  3.7518923287819215E+000                  5.9233569184291346E-001                  4.2533962436173063E+000                  0.0000000000000000E+000                  1.6620455227359155E+001                  9.6375483420608277E-001                  7.5009315115985622E+000                  6.1831053878102527E-001                  8.4848822306538474E-001                  1.3006910652630883E+000                  6.9697636181980049E-001                  2.8250319976518323E-001                  5.6873347229553252E-005                  9.0219981521522767E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9895355688956515E+000                  2.8082923603137870E+000                                        0                                        2                  5.0000000000000000E+000                  8.5396127019665516E+002                  3.9999999654023131E+000                  3.1006859783370825E+001                  1.5687217512058371E+002                  2.3530826268087557E+002                  1.2850868884951385E+001                  1.0679110022563524E+001                 -6.1855927059731153E-001                 -6.3373060512152746E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060498112416E+054                 -1.0798075217212299E+035                  0.0000000000000000E+000                 -1.0798075217212299E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                      975                  1.1395085863458353E+003                  2.4556780825989208E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0654422032205546E+000                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513070183E-001                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995513070183E-001                  3.7522586613439066E+000                 -3.0603525883788230E+001                 -9.8999999999999986E+001                  3.7522586613439066E+000                  1.5709943238003905E+000                  3.7493881820205877E+000                 -3.0603525883788230E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9524449766671410E+033                  6.0232297475554116E+033                  6.6745802938325641E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3532213179477617E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031286327303150E+000                  3.7518835209343053E+000                  5.9233765587101816E-001                  4.2533923155610962E+000                  0.0000000000000000E+000                  1.6620458121475586E+001                  9.6376010678175061E-001                  7.5009311687822011E+000                  6.1831304125266195E-001                  8.4848559646642308E-001                  1.3006976955705267E+000                  6.9697110894609804E-001                  2.8250853627261663E-001                  5.6818249969144217E-005                  9.0212634006029187E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9895190737873820E+000                  2.8083087634551283E+000                                        0                                        2                  6.0000000000000000E+000                  1.1395085863458355E+003                  3.9999999538335542E+000                  3.1006859723585677E+001                  1.5687217527181841E+002                  2.3530826290772762E+002                  1.2850868860173284E+001                  1.0679110001972850E+001                 -6.1851627419501987E-001                 -6.3372894801615742E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060488382067E+054                 -1.0798075277937474E+035                  0.0000000000000000E+000                 -1.0798075277937474E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                      975                  1.4821653657248519E+003                  2.5348593286465455E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0639253304300160E+000                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512963247E-001                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512963247E-001                  3.7521216864031124E+000                 -3.0603481319039698E+001                 -9.8999999999999986E+001                  3.7521216864031124E+000                  1.5699156715538871E+000                  3.7492574449218394E+000                 -3.0603481319039698E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9520353965152843E+033                  6.0228937976428010E+033                  6.6747266113635568E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3531055321672615E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031264570787352E+000                  3.7518812719454298E+000                  5.9234088267974083E-001                  4.2533858619436513E+000                  0.0000000000000000E+000                  1.6620463497209091E+001                  9.6376776851962265E-001                  7.5009313054370139E+000                  6.1831604289894038E-001                  8.4848244565992559E-001                  1.3007056479521821E+000                  6.9696480767592262E-001                  2.8251494082153261E-001                  5.6770544398775747E-005                  9.0203817909222626E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9894992867866268E+000                  2.8083284494527034E+000                                        0                                        2                  7.0000000000000000E+000                  1.4821653657248519E+003                  3.9999999399510440E+000                  3.1006859651843502E+001                  1.5687217545330006E+002                  2.3530826317995007E+002                  1.2850868830439564E+001                  1.0679109977264041E+001                 -6.1848842714542718E-001                 -6.3372622576405546E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060476705649E+054                 -1.0798075350807665E+035                  0.0000000000000000E+000                 -1.0798075350807665E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                      975                  1.8933535009796715E+003                  2.6140405746941702E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0624808790065625E+000                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512824780E-001                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512824780E-001                  3.7520282549714357E+000                 -3.0603396675770728E+001                 -9.8999999999999986E+001                  3.7520282549714352E+000                  1.5687908989788832E+000                  3.7491708296786812E+000                 -3.0603396675770728E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9517426147500159E+033                  6.0226284258948198E+033                  6.6749026380957021E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3529603275272977E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031255342578586E+000                  3.7518869355668478E+000                  5.9234556013220407E-001                  4.2533765070387251E+000                  0.0000000000000000E+000                  1.6620471456085156E+001                  9.6377791445408012E-001                  7.5009319877217155E+000                  6.1831964375872728E-001                  8.4847866559536611E-001                  1.3007151873589744E+000                  6.9695724790109648E-001                  2.8252262751733254E-001                  5.6732325084658226E-005                  9.0193239670741769E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.9894755484029041E+000                  2.8083520763878749E+000                                        0                                        2                  8.0000000000000000E+000                  1.8933535009796715E+003                  3.9999999232920311E+000                  3.1006859565752890E+001                  1.5687217567107800E+002                  2.3530826350661707E+002                  1.2850868794759103E+001                  1.0679109947613471E+001                 -6.1847368099012678E-001                 -6.3372227987220175E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060462693947E+054                 -1.0798075438251893E+035                  0.0000000000000000E+000                 -1.0798075438251893E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                      975                  2.3867792632854553E+003                  2.6932218207417953E+000                  1.0000000000000000E+001                  3.4298505910360667E+001                 -9.8999999999999986E+001                  3.0611929522499457E+000                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512651230E-001                  3.0574364861602144E-001                  7.8130183545077614E-008                  9.9999998349014074E-001                  9.9999995512651230E-001                  3.7519841521942459E+000                 -3.0603270233268574E+001                 -1.1740169830895265E+001                  3.7519841521942459E+000                  1.5676432195786223E+000                  3.7491340024753246E+000                 -3.0603270233268574E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9515839132986391E+033                  6.0224454124073871E+033                  6.6751146123559057E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3527610901234334E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4031257231600449E+000                  3.7519000447517525E+000                  5.9235173692028387E-001                  4.2533641534625648E+000                  0.0000000000000000E+000                  1.6620481754201034E+001                  9.6379034979733458E-001                  7.5009332311624286E+000                  6.1832396409097734E-001                  8.4847413001284788E-001                  1.3007266323287929E+000                  6.9694817709261814E-001                  2.8253185351039078E-001                  5.6705071244226739E-005                  9.0180547093743658E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.9894470661226773E+000                  2.8083804346343513E+000                                        0                                        2                  9.0000000000000000E+000                  2.3867792632854553E+003                  3.9999999033012168E+000                  3.1006859462444158E+001                  1.5687217593241158E+002                  2.3530826389861735E+002                  1.2850868751942542E+001                  1.0679109912032784E+001                 -6.1846690044444264E-001                 -6.3371706920053983E-001                  1.5000000000000002E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0093060445879904E+054                 -1.0798075543184976E+035                  0.0000000000000000E+000                 -1.0798075543184976E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
